,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
54,54,2.92,-8.7,-1.18,6.86,0.234,0.0354,0.23,0.0643,1.63,-1.57,2920000000.0,-7.969312356530176,-0.6984760583382555,6.945339542829639,0.27124040194472704,0.20641149320494825,0.16459879049369394,0.23248091056767586,2.1630942147136123,-0.9725147282199086,,,,,,,,,
55,55,2.97,-6.64,-0.498,5.26,-0.166,-0.784,-0.0453,-0.815,-0.7490000000000001,-1.35,2970000000.0,-7.119184149381023,-0.5691871521266914,5.902670747036754,-0.01999459692255362,-0.4471212344924772,0.02322571690544703,-0.38735111022172986,0.2904357928000973,-1.20017789886295,,,,,,,,,
56,56,3.02,-9.16,-1.56,5.69,0.147,-0.624,0.109,-1.94,-1.51,-0.594,3020000000.0,-8.424336251300138,-1.208171679435763,5.771097781156207,0.09123636823372568,-0.5638364318564751,0.08099724417515683,-1.3061091771956646,-0.8673568365390028,-0.8345891245327812,,,,,,,,,
57,57,3.07,-7.49,-3.14,7.14,-0.102,-0.579,0.536,-0.852,-0.496,-0.919,3070000000.0,-7.826804968987043,-2.4540260779006897,6.61799637128366,-0.03747358970034336,-0.5738422585563707,0.3874551327476843,-1.0373964895051957,-0.6285511976033167,-0.8854977413692898,,,,,,,,,
58,58,3.12,-8.23,-1.48,6.37,-0.364,-0.831,0.931,-0.73,2.92,-0.425,3120000000.0,-8.084657868328406,-1.8258674725032709,6.464568396874394,-0.2549647399518185,-0.7435302978466131,0.7535487521570137,-0.8554989733188283,1.6533888459917656,-0.6077693785004732,,,,,,,,,
59,59,3.17,-6.78,1.13,7.08,0.123,-0.423,0.251,0.584,-1.28,0.65,3170000000.0,-7.250297035576527,0.08039937677139597,6.845317391254299,-0.003211785050560134,-0.5320252411167801,0.4150672222201007,-0.0036958089215582968,-0.23296332681066945,0.15079727969860246,,,,,,,,,
60,60,3.22,-6.26,2.33,7.17,0.7140000000000001,-1.78,0.0806,-0.495,-0.473,0.106,3220000000.0,-6.616977740733629,1.5311880178527504,7.0461888130643615,0.4745052136705655,-1.3555136114085389,0.18979360768243367,-0.2944181220013681,-0.3873218893206353,0.12377982726902124,,,,,,,,,
61,61,3.27,-3.07,-1.04,7.6,-0.139,-1.39,-0.55,0.977,0.794,-3.16,3270000000.0,-4.348597727108022,-0.12699539614266198,7.388815095595887,0.06586458581701476,-1.3782697838449174,-0.30847938316883017,0.4579255784798016,0.37234186724067336,-1.856683399724928,,,,,,,,,
62,62,3.32,-6.05,-1.92,9.03,-0.373,-1.22,-0.246,-0.354,0.826,-0.0416,3320000000.0,-5.436686672991416,-1.2833209731284243,8.404166719665866,-0.22645224321183755,-1.2738339329874415,-0.2663976661772232,-0.022519906910945686,0.6640723574492067,-0.7619979999762929,,,,,,,,,
63,63,3.37,-4.54,-0.622,8.71,0.203,-0.7659999999999999,-0.28600000000000003,-0.337,1.29,-0.0411,3370000000.0,-4.863233348943447,-0.8568288175901059,8.593376604734692,0.05959525632197249,-0.9387347117512991,-0.2796004296174361,-0.20860906401071005,1.0665828905186443,-0.3272209994064445,,,,,,,,,
